$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/no_pads/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/no_pads/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/no_pads/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:22 +0000: Memory Usage (135684K) : via2_drw has 24 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135684K) : metal3_drw has 15 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135684K) : metal3_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135684K) : metal3_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135812K) : metal3 has 15 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135812K) : metal3_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135812K) : metal3_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_text has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : metal3_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nwell_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nwell_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nwell_text has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nbulay_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nbulay_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : nbulay_block has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : emwind_drw has 4 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : emwind_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (135940K) : deepco_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : mim_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : edgeseal_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : substrate_drw has 500 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : substrate_text has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : dfpad_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136068K) : dfpad_pillar has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136196K) : dfpad_sbump has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136196K) : thickgateox_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136196K) : pldb_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136196K) : pwell_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136196K) : pwell_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : pwell_block has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : ic_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : via3_drw has 33 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : metal4_drw has 17 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : metal4_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136324K) : metal4_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4 has 17 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4_text has 3 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136452K) : metal4_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : metal4_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : metal4_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : metal4_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : metal4_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : heattrans_drw has 123 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : heatres_drw has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136580K) : fbe_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : empoly_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : digisub_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : text_drw has 635 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : via4_drw has 27 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : metal5_drw has 22 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136708K) : metal5_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_slit has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5 has 22 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_mask has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_nofill has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_text has 2 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136836K) : metal5_OPC has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : metal5_noqrc has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : metal5_res has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : metal5_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : metal5_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : radhard_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (136964K) : memcap_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137092K) : varicap_drw has 0 polygons
