$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:39 +0000: Memory Usage (135800K) : thickgateox_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135800K) : pldb_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : pwell_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : pwell_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : pwell_block has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : ic_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : via3_drw has 997 polygons
2026-08-20 19:01:39 +0000: Memory Usage (135928K) : metal4_drw has 15 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4 has 15 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136056K) : metal4_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_text has 3 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136184K) : metal4_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : heattrans_drw has 123 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : heatres_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : fbe_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : empoly_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : digisub_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136312K) : text_drw has 645 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : via4_drw has 991 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : metal5_drw has 14 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : metal5_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : metal5_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : metal5 has 14 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136440K) : metal5_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_OPC has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136568K) : metal5_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : metal5_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : metal5_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : radhard_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : memcap_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : varicap_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136696K) : intbondvia_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : intbondmet_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : devbondvia_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : devbondmet_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : devtrench_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : redist_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136824K) : graphbot_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : graphtop_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : antvia1_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : antmetal2_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : graphcont_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : siwg_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (136952K) : siwg_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : siwg_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137080K) : sigrating_drw has 0 polygons
