freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
5.985625e+09,0.99605183,0.99367044,-2.085031,-2.144998,0.01506400,0.01963938
6.235000e+09,0.99603202,0.99358793,-2.171742,-2.232660,0.01565159,0.02008461
6.484375e+09,0.99601151,0.99350362,-2.258435,-2.320150,0.01624019,0.02053568
6.733750e+09,0.99599030,0.99341761,-2.345111,-2.407467,0.01682965,0.02099205
6.983125e+09,0.99596843,0.99333016,-2.431768,-2.494612,0.01741985,0.02145320
7.232500e+09,0.99594588,0.99324128,-2.518407,-2.581584,0.01801068,0.02191866
7.481875e+09,0.99592268,0.99315113,-2.605026,-2.668383,0.01860202,0.02238799
7.731250e+09,0.99589884,0.99305990,-2.691627,-2.755012,0.01919381,0.02286083
7.980625e+09,0.99587437,0.99296769,-2.778207,-2.841471,0.01978596,0.02333680
8.230000e+09,0.99584928,0.99287459,-2.864768,-2.927762,0.02037841,0.02381557
8.479375e+09,0.99582358,0.99278076,-2.951309,-3.013887,0.02097110,0.02429686
8.728750e+09,0.99579729,0.99268631,-3.037830,-3.099849,0.02156397,0.02478038
8.978125e+09,0.99577042,0.99259133,-3.124330,-3.185650,0.02215697,0.02526590
9.227500e+09,0.99574297,0.99249589,-3.210810,-3.271293,0.02275008,0.02575320
9.476875e+09,0.99571497,0.99240020,-3.297269,-3.356781,0.02334323,0.02624206
9.726250e+09,0.99568642,0.99230424,-3.383708,-3.442118,0.02393642,0.02673232
9.975625e+09,0.99565733,0.99220811,-3.470126,-3.527308,0.02452959,0.02722380
1.022500e+10,0.99562772,0.99211199,-3.556523,-3.612354,0.02512274,0.02771636
1.047438e+10,0.99559759,0.99201589,-3.642899,-3.697260,0.02571582,0.02820986
1.072375e+10,0.99556697,0.99191988,-3.729254,-3.782030,0.02630883,0.02870418
1.097312e+10,0.99553586,0.99182407,-3.815589,-3.866668,0.02690174,0.02919923
1.122250e+10,0.99550426,0.99172854,-3.901903,-3.951178,0.02749454,0.02969490
1.147188e+10,0.99547220,0.99163322,-3.988197,-4.035565,0.02808720,0.03019110
1.172125e+10,0.99543968,0.99153835,-4.074470,-4.119834,0.02867972,0.03068777
1.197062e+10,0.99540671,0.99144387,-4.160722,-4.203987,0.02927209,0.03118483
1.222000e+10,0.99537331,0.99134986,-4.246954,-4.288031,0.02986429,0.03168224
1.246938e+10,0.99533948,0.99125642,-4.333167,-4.371968,0.03045632,0.03217992
1.271875e+10,0.99530523,0.99116346,-4.419359,-4.455805,0.03104816,0.03267786
1.296812e+10,0.99527058,0.99107106,-4.505531,-4.539544,0.03163982,0.03317599
1.321750e+10,0.99523552,0.99097932,-4.591684,-4.623191,0.03223128,0.03367428
1.346688e+10,0.99520008,0.99088824,-4.677818,-4.706749,0.03282254,0.03417272
1.371625e+10,0.99516425,0.99079774,-4.763932,-4.790224,0.03341360,0.03467127
1.396562e+10,0.99512806,0.99070798,-4.850027,-4.873618,0.03400445,0.03516991
1.421500e+10,0.99509150,0.99061898,-4.936104,-4.956936,0.03459509,0.03566863
1.446438e+10,0.99505458,0.99053066,-5.022163,-5.040182,0.03518552,0.03616742
1.471375e+10,0.99501732,0.99044310,-5.108203,-5.123361,0.03577574,0.03666625
1.496312e+10,0.99497971,0.99035621,-5.194225,-5.206475,0.03636575,0.03716513
1.521250e+10,0.99494178,0.99027016,-5.280230,-5.289529,0.03695554,0.03766404
1.546188e+10,0.99490351,0.99018481,-5.366218,-5.372528,0.03754512,0.03816299
1.571125e+10,0.99486493,0.99010020,-5.452188,-5.455472,0.03813449,0.03866197
1.596062e+10,0.99482603,0.99001637,-5.538142,-5.538368,0.03872365,0.03916099
1.621000e+10,0.99478683,0.98993331,-5.624079,-5.621217,0.03931260,0.03966003
1.645938e+10,0.99474732,0.98985094,-5.710001,-5.704023,0.03990135,0.04015911
1.670875e+10,0.99470752,0.98976940,-5.795906,-5.786788,0.04048989,0.04065821
1.695812e+10,0.99466743,0.98968850,-5.881797,-5.869520,0.04107823,0.04115736
1.720750e+10,0.99462706,0.98960834,-5.967672,-5.952216,0.04166636,0.04165656
1.745688e+10,0.99458641,0.98952896,-6.053532,-6.034880,0.04225431,0.04215580
1.770625e+10,0.99454548,0.98945028,-6.139378,-6.117518,0.04284206,0.04265509
1.795562e+10,0.99450428,0.98937220,-6.225210,-6.200127,0.04342962,0.04315444
1.820500e+10,0.99446282,0.98929488,-6.311028,-6.282715,0.04401700,0.04365386
1.845438e+10,0.99442109,0.98921818,-6.396832,-6.365284,0.04460419,0.04415335
1.870375e+10,0.99437911,0.98914216,-6.482624,-6.447834,0.04519121,0.04465291
1.895312e+10,0.99433687,0.98906674,-6.568402,-6.530365,0.04577805,0.04515257
1.920250e+10,0.99429438,0.98899192,-6.654169,-6.612883,0.04636472,0.04565230
1.945188e+10,0.99425165,0.98891771,-6.739923,-6.695389,0.04695123,0.04615214
1.970125e+10,0.99420867,0.98884408,-6.825665,-6.777881,0.04753758,0.04665208
1.995062e+10,0.99416545,0.98877100,-6.911396,-6.860371,0.04812377,0.04715213
2.020000e+10,0.99412199,0.98869849,-6.997116,-6.942851,0.04870981,0.04765229
2.044938e+10,0.99407829,0.98862643,-7.082826,-7.025324,0.04929570,0.04815258
2.069875e+10,0.99403436,0.98855495,-7.168524,-7.107795,0.04988145,0.04865298
2.094812e+10,0.99399020,0.98848392,-7.254213,-7.190266,0.05046706,0.04915353
2.119750e+10,0.99394580,0.98841338,-7.339892,-7.272732,0.05105254,0.04965420
2.144688e+10,0.99390118,0.98834328,-7.425561,-7.355198,0.05163788,0.05015502
2.169625e+10,0.99385633,0.98827360,-7.511221,-7.437669,0.05222311,0.05065599
2.194562e+10,0.99381126,0.98820435,-7.596873,-7.520141,0.05280821,0.05115710
2.219500e+10,0.99376597,0.98813543,-7.682515,-7.602615,0.05339320,0.05165837
