freq_Hz,S11_dB,Zdiff_ohm
43987910.6,-56.92059754981007,100.28550889998333
44326829.2,-56.92182495304784,100.285468499983
44668359.2,-56.92303733639463,100.28542859998282
45012520.6,-56.92423773271485,100.28538909998251
45359333.7,-56.92542309738631,100.28535009998235
45708819.0,-56.92659342422416,100.28531159998201
46060996.9,-56.927754787945545,100.28527339998175
46415888.3,-56.92889806245287,100.28523579998132
46773514.1,-56.93002932298646,100.28519859998126
47133895.4,-56.9311485648375,100.28516179998093
47497053.3,-56.93224969931316,100.28512559998063
47863009.2,-56.933344889033044,100.28508959998005
48231784.8,-56.934421960640755,100.28505419997977
48603401.8,-56.93549307992272,100.28501899997946
48977881.9,-56.936546070602944,100.28498439997911
49355247.4,-56.93758701379434,100.28495019997902
49735520.4,-56.93861590515808,100.28491639997851
50118723.4,-56.939632740364765,100.28488299997821
50504878.8,-56.94064056011151,100.28484989997781
50894009.5,-56.94163327062941,100.28481729997759
51286138.4,-56.94261391236422,100.28478509997714
51681288.6,-56.94358552717617,100.28475319997686
52079483.3,-56.94454506570271,100.28472169997637
52480746.0,-56.94549252390865,100.28469059997597
52885100.4,-56.946427897818836,100.28465989997562
53292570.3,-56.94735423081721,100.28462949997531
53703179.6,-56.948268472358016,100.28459949997506
54116952.7,-56.949170618614914,100.28456989997443
54533913.7,-56.95006676230514,100.28454049997413
54954087.4,-56.950947755835166,100.2845115999738
55377498.4,-56.9518196923366,100.28448299997338
55804171.7,-56.952682569065274,100.28445469997285
56234132.5,-56.9535333338084,100.28442679997255
56667406.1,-56.9543750327807,100.2843991999721
57104017.9,-56.9552046132571,100.28437199997147
57543993.7,-56.95602817246245,100.28434499997103
57987359.5,-56.95683960737175,100.28431839997069
58434141.3,-56.95764501644729,100.28429199997005
58884365.5,-56.95843829554754,100.28426599996993
59338058.6,-56.959222492847616,100.28424029996947
59795247.3,-56.95999760587522,100.28421489996862
60255958.6,-56.960763632161495,100.28418979996815
60720219.6,-56.96152056930127,100.28416499996766
61188057.6,-56.96226841489461,100.2841404999675
61659500.2,-56.963007166607085,100.28411629996683
62134575.2,-56.96373987516202,100.28409229996643
62613310.5,-56.96446043236069,100.28406869996589
63095734.4,-56.96517799592691,100.28404519996513
63581875.4,-56.96588340358435,100.28402209996455
64071761.9,-56.96658276052271,100.28399919996413
64565422.9,-56.9672730109593,100.28397659996338
65062887.5,-56.967957207266906,100.28395419996274
65564184.9,-56.9686292383812,100.28393219996259
66069344.8,-56.969298266614274,100.283910299962
66578396.8,-56.96995818070312,100.28388869996138
67091371.0,-56.97060897856083,100.28386739996071
67608297.5,-56.97125371386031,100.28384629995996
68129206.9,-56.9718954411895,100.2838252999595
68654129.8,-56.97252499134584,100.28380469995889
69183097.1,-56.97314847447118,100.28378429995801
69716140.0,-56.97376588923588,100.2837640999574
70253289.9,-56.97437723434281,100.2837440999569
70794578.4,-56.97497945147164,100.28372439995607
71340037.5,-56.975578653214036,100.28370479995534
71889699.2,-56.97617178147628,100.28368539995465
72443596.0,-56.9767588350086,100.28366619995396
73001760.5,-56.97733675469674,100.28364729995319
73564225.4,-56.97791165486906,100.28362849995236
74131024.1,-56.978477418346216,100.28360999995185
74702189.9,-56.979040160306795,100.28359159995118
75277756.4,-56.9795968214843,100.2835733999503
75857757.5,-56.9801474006913,100.28355539994962
76442227.4,-56.980691896782986,100.28353759994857
77031200.6,-56.981230308592444,100.28351999994773
77624711.7,-56.98176569442984,100.2835024999469
78222795.6,-56.982294994101224,100.28348519994614
78825487.7,-56.982818206491785,100.28346809994534
79432823.5,-56.98333839049412,100.28345109994447
