$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : nwell_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : nwell_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135532K) : nwell_text has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : nbulay_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : nbulay_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : nbulay_block has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : emwind_drw has 4 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : emwind_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135660K) : deepco_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135788K) : mim_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135788K) : edgeseal_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135788K) : substrate_drw has 500 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135788K) : substrate_text has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135788K) : dfpad_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : dfpad_pillar has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : dfpad_sbump has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : thickgateox_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : pldb_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : pwell_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (135916K) : pwell_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : pwell_block has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : ic_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : via3_drw has 33 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : metal4_drw has 17 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : metal4_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136044K) : metal4_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4 has 17 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4_text has 3 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136172K) : metal4_OPC has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : metal4_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : metal4_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : metal4_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : metal4_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : heattrans_drw has 123 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136300K) : heatres_drw has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : fbe_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : empoly_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : digisub_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : text_drw has 635 polygons
2026-08-20 16:31:03 +0000: Memory Usage (136428K) : via4_drw has 27 polygons
