$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:24:42 +0000: Memory Usage (133464K) : nsd_block has 4 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133464K) : metal1_drw has 1566 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133592K) : metal1_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133592K) : metal1_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133720K) : metal1 has 1566 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133720K) : metal1_pin has 750 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133848K) : metal1_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (133848K) : metal1_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134104K) : metal1_text has 5 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134232K) : metal1_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134232K) : metal1_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134360K) : metal1_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134360K) : metal1_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134360K) : metal1_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134488K) : passiv_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134488K) : passiv_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134488K) : passiv_sbump has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134616K) : passiv_pillar has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134616K) : passiv_pdl has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134616K) : metal2_drw has 581 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134744K) : metal2_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134744K) : metal2_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134744K) : metal2 has 581 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134744K) : metal2_pin has 10 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134872K) : metal2_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134872K) : metal2_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134872K) : metal2_text has 3 polygons
2026-08-20 17:24:42 +0000: Memory Usage (134872K) : metal2_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135000K) : metal2_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135000K) : metal2_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135000K) : metal2_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135000K) : metal2_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135128K) : baspoly_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135128K) : baspoly_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135128K) : psd_drw has 515 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135128K) : nldb_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135256K) : digibnd_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135256K) : via1_drw has 7666 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135256K) : backmetal1_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135384K) : backmetal1_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135384K) : backmetal1_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135384K) : backmetal1_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135384K) : backmetal1_nofill has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135512K) : backmetal1_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135512K) : backmetal1_text has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135512K) : backmetal1_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135512K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135640K) : backmetal1_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135640K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135640K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135640K) : backpassiv_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135768K) : res_drw has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (135768K) : sram_drw has 0 polygons
