$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/coils_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/coils_only/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/coils_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nwell_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nwell_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nwell_text has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nbulay_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nbulay_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : nbulay_block has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135836K) : emwind_drw has 4 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : emwind_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : deepco_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : mim_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : edgeseal_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : substrate_drw has 500 polygons
2026-08-20 17:32:20 +0000: Memory Usage (135964K) : substrate_text has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : dfpad_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : dfpad_pillar has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : dfpad_sbump has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : thickgateox_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : pldb_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136092K) : pwell_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136220K) : pwell_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136220K) : pwell_block has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136220K) : ic_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136220K) : via3_drw has 33 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136220K) : metal4_drw has 17 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4 has 17 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136348K) : metal4_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_text has 3 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136476K) : metal4_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : heattrans_drw has 123 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : heatres_drw has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : fbe_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : empoly_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : digisub_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : text_drw has 635 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : via4_drw has 27 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136604K) : metal5_drw has 22 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136732K) : metal5_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136732K) : metal5_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136732K) : metal5 has 22 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136732K) : metal5_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136732K) : metal5_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_text has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_OPC has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136860K) : metal5_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136988K) : radhard_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136988K) : memcap_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136988K) : varicap_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (136988K) : intbondvia_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137116K) : intbondmet_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137116K) : devbondvia_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137116K) : devbondmet_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137116K) : devtrench_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137244K) : redist_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137244K) : graphbot_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (137244K) : graphtop_drw has 0 polygons
