$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check7/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check7/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check7/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:43:07 +0000: Memory Usage (134656K) : backmetal1_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134784K) : backmetal1_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134784K) : backmetal1_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134784K) : backmetal1_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134784K) : backpassiv_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134912K) : res_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134912K) : sram_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (134912K) : trans_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135040K) : ind_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135040K) : ind_pin has 4 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135040K) : ind_text has 4 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135040K) : salblock_drw has 12 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135040K) : via2_drw has 804 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135168K) : metal3_drw has 38 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135168K) : metal3_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135168K) : metal3_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3 has 38 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_pin has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : metal3_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : nwell_drw has 4 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : nwell_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : nwell_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : nbulay_drw has 1 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135296K) : nbulay_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : nbulay_block has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : emwind_drw has 4 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : emwind_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : deepco_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : mim_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135424K) : edgeseal_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : substrate_drw has 500 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : substrate_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : dfpad_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : dfpad_pillar has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : dfpad_sbump has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135552K) : thickgateox_drw has 1 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : pldb_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : pwell_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : pwell_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : pwell_block has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : ic_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135680K) : via3_drw has 1009 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135808K) : metal4_drw has 21 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135808K) : metal4_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135808K) : metal4_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135808K) : metal4 has 21 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135808K) : metal4_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_text has 3 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (135936K) : metal4_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : metal4_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : metal4_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : heattrans_drw has 123 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : heatres_drw has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : fbe_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : empoly_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136064K) : digisub_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : text_drw has 639 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : via4_drw has 1003 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : metal5_drw has 26 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : metal5_filler has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : metal5_slit has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136192K) : metal5 has 26 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_pin has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_mask has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_nofill has 2 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_text has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_OPC has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136320K) : metal5_noqrc has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : metal5_res has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : metal5_iprobe has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : metal5_diffprb has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : radhard_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : memcap_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136448K) : varicap_drw has 0 polygons
2026-08-20 17:43:07 +0000: Memory Usage (136576K) : intbondvia_drw has 0 polygons
