$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe2/pads_no_esd/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:34:52 +0000: Memory Usage (137256K) : antvia1_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137256K) : antmetal2_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137384K) : graphcont_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137384K) : siwg_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137384K) : siwg_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137384K) : siwg_nofill has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137512K) : sigrating_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137512K) : singrating_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137512K) : graphpas_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137512K) : emwind3_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : emwihv3_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : redbulay_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : smos_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : graphpad_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : polimide_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137640K) : polimide_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137768K) : recog_drw has 1 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137768K) : recog_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137768K) : recog_esd has 1 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137768K) : recog_diode has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137768K) : recog_tsv has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_pillar has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_sbump has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_otp has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (137896K) : recog_pdiode has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138024K) : recog_mom has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138024K) : recog_momf has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138024K) : recog_pcm has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138024K) : colopen_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138024K) : graphmetal1_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmetal1_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmetal1_nofill has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmetal1_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmetal1_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmet1l_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138152K) : graphmet1l_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : graphmet1l_nofill has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : graphmet1l_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : graphmet1l_OPC has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : extblock_drw has 6 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : nldd_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138280K) : pldd_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138408K) : next_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138408K) : pext_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138408K) : nexthv_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138408K) : pexthv_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138536K) : graphgate_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138536K) : sinwg_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138536K) : sinwg_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138536K) : sinwg_nofill has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138664K) : mempad_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138664K) : topvia1_drw has 477 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138664K) : topmetal1_drw has 48 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138664K) : topmetal1_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138792K) : topmetal1_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138792K) : topmetal1 has 48 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138792K) : topmetal1_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138920K) : topmetal1_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138920K) : topmetal1_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138920K) : topmetal1_text has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (138920K) : topmetal1_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139048K) : topmetal1_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139048K) : topmetal1_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139048K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139048K) : inldpwl_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139176K) : polyres_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139176K) : polyres_pin has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139176K) : vmim_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139176K) : nbulaycut_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139304K) : antmetal1_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139304K) : topvia2_drw has 231 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139560K) : topmetal2_drw has 67 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139560K) : topmetal2_filler has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139560K) : topmetal2_slit has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139560K) : topmetal2 has 67 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139688K) : topmetal2_pin has 4 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139688K) : topmetal2_mask has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139688K) : topmetal2_nofill has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139688K) : topmetal2_text has 8 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139816K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139816K) : topmetal2_res has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139816K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139816K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139944K) : snsring_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139944K) : sensor_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (139944K) : snsarms_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140072K) : snscmosvia_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140072K) : colwind_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140200K) : flm_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140200K) : hafniumox_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140200K) : memvia_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : thinfilmres_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : rfmem_drw has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_drw has 2 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m2m3 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m2m4 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m2m5 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m2tm1 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m2tm2 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m3m4 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m3m5 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m3tm1 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m3tm2 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m4m5 has 0 polygons
2026-08-20 16:34:52 +0000: Memory Usage (140328K) : norcx_m4tm1 has 0 polygons
