$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 10:15:34 +0000: Memory Usage (134688K) : psd_drw has 503 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134688K) : nldb_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134688K) : digibnd_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134816K) : via1_drw has 6770 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134816K) : backmetal1_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134816K) : backmetal1_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134944K) : backmetal1_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134944K) : backmetal1_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134944K) : backmetal1_nofill has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (134944K) : backmetal1_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135072K) : backmetal1_text has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135072K) : backmetal1_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135072K) : backmetal1_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135072K) : backmetal1_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135200K) : backmetal1_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135200K) : backmetal1_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135200K) : backpassiv_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135200K) : res_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135328K) : sram_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135328K) : trans_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135328K) : ind_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135328K) : ind_pin has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135456K) : ind_text has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135456K) : salblock_drw has 12 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135456K) : via2_drw has 814 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135456K) : metal3_drw has 39 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135584K) : metal3_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135584K) : metal3_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135584K) : metal3 has 39 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_pin has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_text has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_OPC has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : metal3_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nwell_drw has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nwell_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (135712K) : nwell_text has 0 polygons
