$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/term_stage/term_dut.gds --netlist=/workspace/layout/blocks/out/term_stage/term_dut.cdl --run_dir=/workspace/layout/blocks/out/term_stage/lvs_bisect/baseline --run_mode=deep --topcell=term_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 06:42:37 +0000: Memory Usage (135564K) : metal3_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135564K) : metal3_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135564K) : metal3 has 80 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135564K) : metal3_pin has 2 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135564K) : metal3_mask has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_OPC has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_noqrc has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_res has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135692K) : metal3_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135820K) : metal3_diffprb has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135820K) : nwell_drw has 14 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135820K) : nwell_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135820K) : nwell_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135820K) : nbulay_drw has 1 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : nbulay_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : nbulay_block has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : emwind_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : emwind_OPC has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : deepco_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : mim_drw has 1 polygons
2026-08-20 06:42:37 +0000: Memory Usage (135948K) : edgeseal_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136076K) : substrate_drw has 100 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136076K) : substrate_text has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136076K) : dfpad_drw has 2 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136076K) : dfpad_pillar has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136076K) : dfpad_sbump has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136204K) : thickgateox_drw has 1 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136204K) : pldb_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136204K) : pwell_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136204K) : pwell_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136332K) : pwell_block has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136332K) : ic_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136332K) : via3_drw has 1040 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136332K) : metal4_drw has 44 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4 has 44 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_mask has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136460K) : metal4_text has 4 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : metal4_OPC has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : metal4_noqrc has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : metal4_res has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : metal4_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (136588K) : metal4_diffprb has 0 polygons
