$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:41 +0000: Memory Usage (135096K) : trans_drw has 2 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135224K) : ind_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135224K) : ind_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135224K) : ind_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135224K) : salblock_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135224K) : via2_drw has 16 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135352K) : metal3_drw has 21 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135352K) : metal3_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135352K) : metal3_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135480K) : metal3 has 21 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135480K) : metal3_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135480K) : metal3_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (135608K) : metal3_iprobe has 0 polygons
